e&l10(s16.66H


                                                    University of Central Florida
                                      Association for Computing Machinery and Upsilon Pi Epsilon
                                             10th Annual High School Programming Contest
                                                             May 3, 1996

                                                           Final Standings

Place       Team           Problems Penalty   HAIKU    RUNNING  SIMPLE  PASSWORD COMPRESS  SPACE    CARDS    PREDICT SECURITY
            Name             Solved  Points                (Number of Judged Submissions, Time Taken to Solve)
----------------------------------------------------------------------------------------------------------------------------
 1   Edgewater HS                7     533    3 2:37   1 1:29   1 ....   1 1:13   1 1:00   1 0:05   1 1:03   2 0:26   4 .... 
 2   Eastside HS                 7     865    5 ....   1 1:32   2 ....   2 2:14   1 1:06   1 0:41   2 2:59   2 2:19   1 2:34 
 3   Miami Springs Senior HS #1  6     817    7 ....   2 1:31   0 ....   1 2:37   1 0:56   3 0:46   2 3:38   2 2:29   0 .... 
 4   Winter Park HS              6     820    6 2:51   2 1:59   0 ....   2 1:23   1 1:21   1 1:10   3 ....   2 2:16   2 .... 
 5   Ransom Everglades HS #1     6     880    7 ....   2 3:03   1 ....   1 2:29   1 0:53   1 1:29   1 3:12   3 2:34   0 .... 
 6   Eau Gallie HS #1            5     510    6 ....   1 2:41  11 ....   1 2:08   1 0:20   5 0:51   3 ....   1 1:10   0 .... 
 7   Oviedo HS #2                5     525    3 ....   2 ....   0 ....   1 2:32   1 0:26   1 0:08   1 4:01   1 1:38   0 .... 
 8   Oviedo HS #1                5     669    3 ....   2 2:13   1 ....   3 ....   1 2:17   1 1:21   1 3:08   1 1:50   0 .... 
 9   Pine Crest School #2        4     435    0 ....   0 ....   0 ....   0 ....   1 1:22   1 0:11   3 3:18   2 1:24   0 .... 
10   Stanton College Prep Schoo  4     601    1 ....   7 ....   0 ....   1 2:58   1 1:32   1 1:12   0 ....   3 3:39   0 .... 
11   Jupiter HS #2               3     247    4 ....   1 2:59   0 ....   1 ....   1 0:40   1 0:28   0 ....   0 ....   0 .... 
12   Palm Bay HS                 3     277    5 ....   4 ....   0 ....   0 ....   1 1:18   1 0:47   0 ....   1 2:32   0 .... 
13   Trinity Prep School #1      3     321    3 ....   0 ....   0 ....   0 ....   2 1:36   1 0:18   0 ....   3 2:27   0 .... 
14   South Fork HS #1            3     336    2 ....   1 ....   0 ....   1 3:05   1 0:56   1 1:35   0 ....   1 ....   0 .... 
15   Ransom Everglades HS #2     3     424    1 ....   0 ....   4 ....   0 ....   4 ....   1 0:11   5 3:07   2 2:06   0 .... 
16   Bayshore HS #2              3     468    0 ....   7 3:51   0 ....   0 ....   1 1:42   1 0:15   0 ....   0 ....   0 .... 
17   Florida Air Academy         3     499    0 ....   0 ....   0 ....   0 ....   1 1:14   7 1:30   0 ....   5 2:15   0 .... 
18   Jupiter HS #1               2     120    0 ....   1 ....   0 ....   0 ....   1 1:52   1 0:08   0 ....   0 ....   0 .... 
19   Rockledge HS #1             2     173    0 ....   0 ....   0 ....   0 ....   6 ....   1 0:42   0 ....   2 1:51   0 .... 
20   Pine Crest School #1        2     226    3 ....   7 ....   0 ....   2 ....   3 1:31   3 0:55   2 ....   3 ....   0 .... 
21   Bishop Moore HS #1          2     227    0 ....   3 2:48   0 ....   0 ....   1 ....   1 0:19   0 ....   5 ....   0 .... 
22   University HS #1            2     264    0 ....   0 ....   0 ....   0 ....   2 2:22   3 1:02   0 ....   0 ....   0 .... 
23   Trinity Prep School #2      2     274    2 ....   0 ....   0 ....   0 ....   1 1:05   6 1:49   0 ....   3 ....   0 .... 
24   Eau Gallie HS #2            2     311    3 ....   0 ....   0 ....   1 ....   2 ....   1 1:16   0 ....   3 3:15   0 .... 
25   Palm Beach Gardens HS       2     354    0 ....   0 ....   0 ....   1 ....   4 2:22   5 1:12   0 ....   0 ....   0 .... 
26   University HS #2            2     469    0 ....   0 ....   0 ....   0 ....   2 1:52   6 3:57   0 ....   0 ....   0 .... 
27   Bishop Moore HS #2          1      20    0 ....   0 ....   0 ....   0 ....   2 ....   1 0:20   0 ....   0 ....   0 .... 
28   Mainland HS                 1      48    0 ....   0 ....   0 ....   0 ....   4 ....   1 0:48   0 ....   2 ....   0 .... 
29   Ransom Everglades HS #3     1      55    2 ....   0 ....   0 ....   0 ....   0 ....   1 0:55   0 ....   0 ....   0 .... 
30   Miami Springs Senior HS #2  1      77    3 ....   3 ....   0 ....   0 ....   5 ....   1 1:17   0 ....   0 ....   0 .... 
31   Rockledge HS #2             1     134    0 ....   0 ....   0 ....   0 ....   0 ....   3 1:34   0 ....   0 ....   0 .... 
32   Fort Pierce Central HS #1   1     175    5 ....   0 ....   0 ....   0 ....   1 2:55   7 ....   0 ....   2 ....   0 .... 
33   Forest HS #1                1     184    0 ....   0 ....   0 ....   0 ....   1 ....   2 2:44   0 ....   0 ....   0 .... 
34   Flagler Palm Coast HS       1     192    0 ....   0 ....   0 ....   0 ....   0 ....   4 2:12   0 ....   3 ....   0 .... 
35   Fort Pierce Central HS #2   1     232    0 ....   0 ....   0 ....   0 ....   0 ....   1 3:52   0 ....   0 ....   0 .... 
36   Bayshore HS #1              1     233    0 ....   0 ....   0 ....   0 ....   0 ....   1 3:53   0 ....   0 ....   0 .... 
37   Forest HS #2                1     236    0 ....   0 ....   0 ....   0 ....   0 ....   1 3:56   0 ....   0 ....   0 .... 
----------------------------------------------------------------------------------------------------------------------------
